"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2022/12/20","00:00","-0.219","-","-0.164"
"2022/12/20","00:06","-0.245","-","-0.203"
"2022/12/20","00:12","-0.272","-","-0.243"
"2022/12/20","00:18","-0.298","-","-0.275"
"2022/12/20","00:24","-0.325","-","-0.303"
"2022/12/20","00:30","-0.351","-","-0.336"
"2022/12/20","00:36","-0.377","-","-0.367"
"2022/12/20","00:42","-0.402","-","-0.4"
"2022/12/20","00:48","-0.427","-","-0.428"
"2022/12/20","00:54","-0.451","-","-0.454"
"2022/12/20","01:00","-0.475","-","-0.478"
"2022/12/20","01:06","-0.497","-","-0.502"
"2022/12/20","01:12","-0.519","-","-0.535"
"2022/12/20","01:18","-0.54","-","-0.568"
"2022/12/20","01:24","-0.559","-","-0.592"
"2022/12/20","01:30","-0.578","-","-0.617"
"2022/12/20","01:36","-0.595","-","-0.642"
"2022/12/20","01:42","-0.611","-","-0.661"
"2022/12/20","01:48","-0.626","-","-0.674"
"2022/12/20","01:54","-0.639","-","-0.692"
"2022/12/20","02:00","-0.65","-","-0.706"
"2022/12/20","02:06","-0.661","-","-0.716"
"2022/12/20","02:12","-0.67","-","-0.72"
"2022/12/20","02:18","-0.677","-","-0.721"
"2022/12/20","02:24","-0.683","-","-0.725"
"2022/12/20","02:30","-0.687","-","-0.726"
"2022/12/20","02:36","-0.69","-","-0.728"
"2022/12/20","02:42","-0.692","-","-0.73"
"2022/12/20","02:48","-0.692","-","-0.736"
"2022/12/20","02:54","-0.692","-","-0.735"
"2022/12/20","03:00","-0.689","-","-0.732"
"2022/12/20","03:06","-0.686","-","-0.729"
"2022/12/20","03:12","-0.681","-","-0.722"
"2022/12/20","03:18","-0.676","-","-0.71"
"2022/12/20","03:24","-0.669","-","-0.7"
"2022/12/20","03:30","-0.662","-","-0.696"
"2022/12/20","03:36","-0.653","-","-0.685"
"2022/12/20","03:42","-0.644","-","-0.677"
"2022/12/20","03:48","-0.633","-","-0.665"
"2022/12/20","03:54","-0.622","-","-0.653"
"2022/12/20","04:00","-0.61","-","-0.64"
"2022/12/20","04:06","-0.598","-","-0.627"
"2022/12/20","04:12","-0.584","-","-0.621"
"2022/12/20","04:18","-0.57","-","-0.611"
"2022/12/20","04:24","-0.556","-","-0.596"
"2022/12/20","04:30","-0.54","-","-0.581"
"2022/12/20","04:36","-0.524","-","-0.567"
"2022/12/20","04:42","-0.508","-","-0.557"
"2022/12/20","04:48","-0.49","-","-0.542"
"2022/12/20","04:54","-0.472","-","-0.529"
"2022/12/20","05:00","-0.453","-","-0.517"
"2022/12/20","05:06","-0.434","-","-0.501"
"2022/12/20","05:12","-0.414","-","-0.478"
"2022/12/20","05:18","-0.393","-","-0.461"
"2022/12/20","05:24","-0.372","-","-0.444"
"2022/12/20","05:30","-0.35","-","-0.428"
"2022/12/20","05:36","-0.328","-","-0.404"
"2022/12/20","05:42","-0.305","-","-0.386"
"2022/12/20","05:48","-0.281","-","-0.368"
"2022/12/20","05:54","-0.257","-","-0.35"
"2022/12/20","06:00","-0.232","-","-0.326"
"2022/12/20","06:06","-0.207","-","-0.308"
"2022/12/20","06:12","-0.181","-","-0.291"
"2022/12/20","06:18","-0.155","-","-0.267"
"2022/12/20","06:24","-0.128","-","-0.241"
"2022/12/20","06:30","-0.101","-","-0.22"
"2022/12/20","06:36","-0.074","-","-0.198"
"2022/12/20","06:42","-0.046","-","-0.175"
"2022/12/20","06:48","-0.019","-","-0.151"
