"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2021/08/20","00:00","0.473","-","0.622"
"2021/08/20","00:06","0.469","-","0.625"
"2021/08/20","00:12","0.464","-","0.622"
"2021/08/20","00:18","0.458","-","0.625"
"2021/08/20","00:24","0.451","-","0.621"
"2021/08/20","00:30","0.443","-","0.625"
"2021/08/20","00:36","0.434","-","0.621"
"2021/08/20","00:42","0.425","-","0.611"
"2021/08/20","00:48","0.414","-","0.6"
"2021/08/20","00:54","0.403","-","0.586"
"2021/08/20","01:00","0.392","-","0.575"
"2021/08/20","01:06","0.379","-","0.561"
"2021/08/20","01:12","0.367","-","0.546"
"2021/08/20","01:18","0.353","-","0.529"
"2021/08/20","01:24","0.34","-","0.516"
"2021/08/20","01:30","0.326","-","0.499"
"2021/08/20","01:36","0.311","-","0.486"
"2021/08/20","01:42","0.296","-","0.474"
"2021/08/20","01:48","0.281","-","0.46"
"2021/08/20","01:54","0.266","-","0.445"
"2021/08/20","02:00","0.25","-","0.429"
"2021/08/20","02:06","0.234","-","0.407"
"2021/08/20","02:12","0.218","-","0.389"
"2021/08/20","02:18","0.201","-","0.371"
"2021/08/20","02:24","0.184","-","0.347"
"2021/08/20","02:30","0.167","-","0.329"
"2021/08/20","02:36","0.149","-","0.303"
"2021/08/20","02:42","0.131","-","0.28"
"2021/08/20","02:48","0.113","-","0.265"
"2021/08/20","02:54","0.094","-","0.245"
"2021/08/20","03:00","0.075","-","0.229"
"2021/08/20","03:06","0.055","-","0.209"
"2021/08/20","03:12","0.035","-","0.187"
"2021/08/20","03:18","0.014","-","0.174"
"2021/08/20","03:24","-0.007","-","0.156"
"2021/08/20","03:30","-0.028","-","0.135"
"2021/08/20","03:36","-0.05","-","0.115"
"2021/08/20","03:42","-0.073","-","0.095"
"2021/08/20","03:48","-0.095","-","0.074"
"2021/08/20","03:54","-0.118","-","0.047"
"2021/08/20","04:00","-0.141","-","0.028"
"2021/08/20","04:06","-0.164","-","0.011"
"2021/08/20","04:12","-0.187","-","-0.008"
"2021/08/20","04:18","-0.21","-","-0.027"
"2021/08/20","04:24","-0.233","-","-0.052"
"2021/08/20","04:30","-0.256","-","-0.069"
"2021/08/20","04:36","-0.279","-","-0.099"
"2021/08/20","04:42","-0.301","-","-0.125"
"2021/08/20","04:48","-0.323","-","-0.15"
"2021/08/20","04:54","-0.344","-","-0.175"
"2021/08/20","05:00","-0.364","-","-0.185"
"2021/08/20","05:06","-0.384","-","-0.205"
"2021/08/20","05:12","-0.403","-","-0.224"
"2021/08/20","05:18","-0.421","-","-0.243"
"2021/08/20","05:24","-0.437","-","-0.267"
"2021/08/20","05:30","-0.453","-","-0.289"
"2021/08/20","05:36","-0.467","-","-0.311"
"2021/08/20","05:42","-0.48","-","-0.329"
"2021/08/20","05:48","-0.491","-","-0.352"
"2021/08/20","05:54","-0.501","-","-0.371"
"2021/08/20","06:00","-0.509","-","-0.387"
"2021/08/20","06:06","-0.516","-","-0.402"
"2021/08/20","06:12","-0.522","-","-0.415"
"2021/08/20","06:18","-0.525","-","-0.425"
"2021/08/20","06:24","-0.527","-","-0.434"
"2021/08/20","06:30","-0.528","-","-0.441"
"2021/08/20","06:36","-0.527","-","-0.444"
"2021/08/20","06:42","-0.524","-","-0.446"
"2021/08/20","06:48","-0.519","-","-0.446"
"2021/08/20","06:54","-0.514","-","-0.445"
"2021/08/20","07:00","-0.506","-","-0.44"
"2021/08/20","07:06","-0.497","-","-0.433"
"2021/08/20","07:12","-0.487","-","-0.428"
"2021/08/20","07:18","-0.476","-","-0.418"
"2021/08/20","07:24","-0.463","-","-0.413"
"2021/08/20","07:30","-0.449","-","-0.408"
"2021/08/20","07:36","-0.434","-","-0.394"
"2021/08/20","07:42","-0.418","-","-0.379"
"2021/08/20","07:48","-0.401","-","-0.363"
"2021/08/20","07:54","-0.384","-","-0.345"
"2021/08/20","08:00","-0.365","-","-0.327"
"2021/08/20","08:06","-0.347","-","-0.308"
"2021/08/20","08:12","-0.327","-","-0.285"
"2021/08/20","08:18","-0.307","-","-0.26"
"2021/08/20","08:24","-0.287","-","-0.231"
"2021/08/20","08:30","-0.266","-","-0.203"
"2021/08/20","08:36","-0.246","-","-0.181"
"2021/08/20","08:42","-0.225","-","-0.158"
"2021/08/20","08:48","-0.204","-","-0.129"
"2021/08/20","08:54","-0.183","-","-0.104"
"2021/08/20","09:00","-0.162","-","-0.079"
"2021/08/20","09:06","-0.141","-","-0.054"
"2021/08/20","09:12","-0.121","-","-0.034"
"2021/08/20","09:18","-0.1","-","-0.011"
"2021/08/20","09:24","-0.08","-","0.017"
"2021/08/20","09:30","-0.06","-","0.037"
"2021/08/20","09:36","-0.041","-","0.057"
"2021/08/20","09:42","-0.022","-","0.075"
"2021/08/20","09:48","-0.003","-","0.088"
"2021/08/20","09:54","0.015","-","0.104"
