"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2021/08/20","00:00","0.592","-","0.751"
"2021/08/20","00:06","0.559","-","0.732"
"2021/08/20","00:12","0.525","-","0.707"
"2021/08/20","00:18","0.49","-","0.673"
"2021/08/20","00:24","0.453","-","0.633"
"2021/08/20","00:30","0.416","-","0.599"
"2021/08/20","00:36","0.377","-","0.565"
"2021/08/20","00:42","0.338","-","0.531"
"2021/08/20","00:48","0.298","-","0.493"
"2021/08/20","00:54","0.257","-","0.455"
"2021/08/20","01:00","0.216","-","0.413"
"2021/08/20","01:06","0.174","-","0.373"
"2021/08/20","01:12","0.132","-","0.332"
"2021/08/20","01:18","0.09","-","0.294"
"2021/08/20","01:24","0.048","-","0.261"
"2021/08/20","01:30","0.006","-","0.232"
"2021/08/20","01:36","-0.035","-","0.197"
"2021/08/20","01:42","-0.076","-","0.16"
"2021/08/20","01:48","-0.116","-","0.118"
"2021/08/20","01:54","-0.156","-","0.076"
"2021/08/20","02:00","-0.194","-","0.036"
"2021/08/20","02:06","-0.231","-","-0.002"
"2021/08/20","02:12","-0.267","-","-0.041"
"2021/08/20","02:18","-0.301","-","-0.077"
"2021/08/20","02:24","-0.334","-","-0.117"
"2021/08/20","02:30","-0.364","-","-0.155"
"2021/08/20","02:36","-0.393","-","-0.199"
"2021/08/20","02:42","-0.42","-","-0.235"
"2021/08/20","02:48","-0.444","-","-0.262"
"2021/08/20","02:54","-0.466","-","-0.288"
"2021/08/20","03:00","-0.486","-","-0.315"
"2021/08/20","03:06","-0.504","-","-0.344"
"2021/08/20","03:12","-0.519","-","-0.372"
"2021/08/20","03:18","-0.533","-","-0.396"
"2021/08/20","03:24","-0.544","-","-0.419"
"2021/08/20","03:30","-0.553","-","-0.44"
"2021/08/20","03:36","-0.56","-","-0.452"
"2021/08/20","03:42","-0.565","-","-0.457"
"2021/08/20","03:48","-0.569","-","-0.456"
"2021/08/20","03:54","-0.572","-","-0.456"
"2021/08/20","04:00","-0.573","-","-0.456"
"2021/08/20","04:06","-0.573","-","-0.453"
"2021/08/20","04:12","-0.572","-","-0.447"
"2021/08/20","04:18","-0.57","-","-0.438"
"2021/08/20","04:24","-0.568","-","-0.426"
"2021/08/20","04:30","-0.566","-","-0.413"
"2021/08/20","04:36","-0.563","-","-0.397"
"2021/08/20","04:42","-0.56","-","-0.383"
"2021/08/20","04:48","-0.557","-","-0.37"
"2021/08/20","04:54","-0.553","-","-0.36"
"2021/08/20","05:00","-0.55","-","-0.35"
"2021/08/20","05:06","-0.547","-","-0.339"
"2021/08/20","05:12","-0.544","-","-0.329"
"2021/08/20","05:18","-0.541","-","-0.318"
"2021/08/20","05:24","-0.538","-","-0.306"
"2021/08/20","05:30","-0.535","-","-0.297"
"2021/08/20","05:36","-0.532","-","-0.289"
"2021/08/20","05:42","-0.529","-","-0.287"
"2021/08/20","05:48","-0.525","-","-0.29"
"2021/08/20","05:54","-0.52","-","-0.299"
"2021/08/20","06:00","-0.515","-","-0.309"
"2021/08/20","06:06","-0.509","-","-0.32"
"2021/08/20","06:12","-0.502","-","-0.328"
"2021/08/20","06:18","-0.494","-","-0.334"
"2021/08/20","06:24","-0.484","-","-0.34"
"2021/08/20","06:30","-0.473","-","-0.347"
"2021/08/20","06:36","-0.461","-","-0.352"
"2021/08/20","06:42","-0.447","-","-0.354"
"2021/08/20","06:48","-0.431","-","-0.357"
"2021/08/20","06:54","-0.414","-","-0.355"
"2021/08/20","07:00","-0.394","-","-0.344"
"2021/08/20","07:06","-0.373","-","-0.324"
"2021/08/20","07:12","-0.351","-","-0.304"
"2021/08/20","07:18","-0.326","-","-0.284"
