"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/12/15","00:00","-0.306","-","-0.174"
"2023/12/15","00:06","-0.283","-","-0.155"
"2023/12/15","00:12","-0.26","-","-0.138"
"2023/12/15","00:18","-0.238","-","-0.119"
"2023/12/15","00:24","-0.216","-","-0.1"
"2023/12/15","00:30","-0.194","-","-0.075"
"2023/12/15","00:36","-0.173","-","-0.06"
"2023/12/15","00:42","-0.152","-","-0.043"
"2023/12/15","00:48","-0.132","-","-0.024"
"2023/12/15","00:54","-0.113","-","-0.006"
"2023/12/15","01:00","-0.094","-","0.014"
"2023/12/15","01:06","-0.077","-","0.029"
"2023/12/15","01:12","-0.06","-","0.045"
"2023/12/15","01:18","-0.043","-","0.059"
"2023/12/15","01:24","-0.028","-","0.068"
"2023/12/15","01:30","-0.013","-","0.073"
"2023/12/15","01:36","0.001","-","0.078"
"2023/12/15","01:42","0.014","-","0.082"
"2023/12/15","01:48","0.026","-","0.091"
"2023/12/15","01:54","0.037","-","0.099"
"2023/12/15","02:00","0.048","-","0.117"
"2023/12/15","02:06","0.058","-","0.128"
"2023/12/15","02:12","0.067","-","0.139"
"2023/12/15","02:18","0.075","-","0.153"
"2023/12/15","02:24","0.083","-","0.162"
"2023/12/15","02:30","0.09","-","0.18"
"2023/12/15","02:36","0.096","-","0.191"
"2023/12/15","02:42","0.102","-","0.203"
"2023/12/15","02:48","0.107","-","0.215"
"2023/12/15","02:54","0.111","-","0.221"
"2023/12/15","03:00","0.114","-","0.223"
"2023/12/15","03:06","0.116","-","0.226"
"2023/12/15","03:12","0.118","-","0.231"
"2023/12/15","03:18","0.119","-","0.231"
"2023/12/15","03:24","0.119","-","0.231"
"2023/12/15","03:30","0.119","-","0.233"
"2023/12/15","03:36","0.117","-","0.24"
"2023/12/15","03:42","0.115","-","0.247"
"2023/12/15","03:48","0.112","-","0.25"
"2023/12/15","03:54","0.108","-","0.252"
"2023/12/15","04:00","0.103","-","0.251"
"2023/12/15","04:06","0.097","-","0.245"
"2023/12/15","04:12","0.091","-","0.239"
"2023/12/15","04:18","0.084","-","0.233"
"2023/12/15","04:24","0.075","-","0.22"
"2023/12/15","04:30","0.066","-","0.198"
"2023/12/15","04:36","0.057","-","0.174"
"2023/12/15","04:42","0.046","-","0.156"
"2023/12/15","04:48","0.035","-","0.14"
"2023/12/15","04:54","0.024","-","0.126"
"2023/12/15","05:00","0.011","-","0.11"
"2023/12/15","05:06","-0.002","-","0.095"
"2023/12/15","05:12","-0.015","-","0.084"
"2023/12/15","05:18","-0.029","-","0.067"
"2023/12/15","05:24","-0.043","-","0.055"
"2023/12/15","05:30","-0.057","-","0.041"
"2023/12/15","05:36","-0.072","-","0.026"
"2023/12/15","05:42","-0.087","-","0.012"
"2023/12/15","05:48","-0.102","-","-0.004"
"2023/12/15","05:54","-0.117","-","-0.019"
"2023/12/15","06:00","-0.132","-","-0.038"
"2023/12/15","06:06","-0.148","-","-0.047"
"2023/12/15","06:12","-0.163","-","-0.057"
"2023/12/15","06:18","-0.178","-","-0.073"
"2023/12/15","06:24","-0.193","-","-0.085"
"2023/12/15","06:30","-0.208","-","-0.096"
"2023/12/15","06:36","-0.223","-","-0.107"
"2023/12/15","06:42","-0.238","-","-0.12"
"2023/12/15","06:48","-0.253","-","-0.144"
"2023/12/15","06:54","-0.267","-","-0.165"
"2023/12/15","07:00","-0.282","-","-0.181"
"2023/12/15","07:06","-0.296","-","-0.194"
"2023/12/15","07:12","-0.31","-","-0.209"
"2023/12/15","07:18","-0.324","-","-0.226"
"2023/12/15","07:24","-0.338","-","-0.238"
"2023/12/15","07:30","-0.352","-","-0.255"
"2023/12/15","07:36","-0.365","-","-0.274"
"2023/12/15","07:42","-0.378","-","-0.295"
"2023/12/15","07:48","-0.392","-","-0.311"
"2023/12/15","07:54","-0.404","-","-0.333"
"2023/12/15","08:00","-0.417","-","-0.355"
"2023/12/15","08:06","-0.429","-","-0.374"
"2023/12/15","08:12","-0.441","-","-0.394"
"2023/12/15","08:18","-0.453","-","-0.412"
"2023/12/15","08:24","-0.464","-","-0.428"
"2023/12/15","08:30","-0.475","-","-0.446"
"2023/12/15","08:36","-0.485","-","-0.457"
"2023/12/15","08:42","-0.494","-","-0.477"
"2023/12/15","08:48","-0.503","-","-0.491"
"2023/12/15","08:54","-0.511","-","-0.502"
"2023/12/15","09:00","-0.518","-","-0.512"
"2023/12/15","09:06","-0.525","-","-0.516"
"2023/12/15","09:12","-0.53","-","-0.525"
"2023/12/15","09:18","-0.534","-","-0.524"
"2023/12/15","09:24","-0.538","-","-0.532"
"2023/12/15","09:30","-0.54","-","-0.539"
"2023/12/15","09:36","-0.541","-","-0.539"
"2023/12/15","09:42","-0.54","-","-0.534"
"2023/12/15","09:48","-0.539","-","-0.528"
"2023/12/15","09:54","-0.536","-","-0.521"
"2023/12/15","10:00","-0.531","-","-0.516"
"2023/12/15","10:06","-0.525","-","-0.509"
"2023/12/15","10:12","-0.518","-","-0.509"
"2023/12/15","10:18","-0.51","-","-0.508"
"2023/12/15","10:24","-0.499","-","-0.502"
"2023/12/15","10:30","-0.488","-","-0.492"
"2023/12/15","10:36","-0.475","-","-0.482"
"2023/12/15","10:42","-0.461","-","-0.474"
"2023/12/15","10:48","-0.445","-","-0.461"
"2023/12/15","10:54","-0.428","-","-0.443"
"2023/12/15","11:00","-0.41","-","-0.416"
"2023/12/15","11:06","-0.39","-","-0.394"
"2023/12/15","11:12","-0.37","-","-0.373"
"2023/12/15","11:18","-0.348","-","-0.349"
"2023/12/15","11:24","-0.326","-","-0.322"
"2023/12/15","11:30","-0.302","-","-0.295"
"2023/12/15","11:36","-0.278","-","-0.276"
"2023/12/15","11:42","-0.253","-","-0.254"
"2023/12/15","11:48","-0.228","-","-0.238"
"2023/12/15","11:54","-0.202","-","-0.218"
"2023/12/15","12:00","-0.176","-","-0.197"
"2023/12/15","12:06","-0.15","-","-0.177"
"2023/12/15","12:12","-0.123","-","-0.153"
"2023/12/15","12:18","-0.097","-","-0.127"
"2023/12/15","12:24","-0.07","-","-0.105"
"2023/12/15","12:30","-0.044","-","-0.079"
"2023/12/15","12:36","-0.018","-","-0.058"
"2023/12/15","12:42","0.007","-","-0.035"
"2023/12/15","12:48","0.032","-","-0.008"
"2023/12/15","12:54","0.057","-","0.02"
"2023/12/15","13:00","0.08","-","0.05"
"2023/12/15","13:06","0.104","-","0.074"
"2023/12/15","13:12","0.126","-","0.098"
"2023/12/15","13:18","0.147","-","0.12"
"2023/12/15","13:24","0.168","-","0.135"
"2023/12/15","13:30","0.188","-","0.152"
"2023/12/15","13:36","0.207","-","0.169"
"2023/12/15","13:42","0.225","-","0.187"
"2023/12/15","13:48","0.242","-","0.199"
"2023/12/15","13:54","0.258","-","0.214"
"2023/12/15","14:00","0.273","-","0.234"
"2023/12/15","14:06","0.288","-","0.266"
"2023/12/15","14:12","0.301","-","0.287"
"2023/12/15","14:18","0.314","-","0.297"
"2023/12/15","14:24","0.325","-","0.315"
"2023/12/15","14:30","0.336","-","0.329"
"2023/12/15","14:36","0.346","-","0.351"
"2023/12/15","14:42","0.355","-","0.371"
"2023/12/15","14:48","0.363","-","0.394"
"2023/12/15","14:54","0.37","-","0.415"
"2023/12/15","15:00","0.376","-","0.428"
"2023/12/15","15:06","0.382","-","0.429"
"2023/12/15","15:12","0.387","-","0.439"
"2023/12/15","15:18","0.39","-","0.442"
"2023/12/15","15:24","0.394","-","0.444"
"2023/12/15","15:30","0.396","-","0.445"
"2023/12/15","15:36","0.397","-","0.454"
"2023/12/15","15:42","0.397","-","0.461"
"2023/12/15","15:48","0.397","-","0.463"
"2023/12/15","15:54","0.395","-","0.463"
"2023/12/15","16:00","0.393","-","0.46"
"2023/12/15","16:06","0.39","-","0.453"
"2023/12/15","16:12","0.385","-","0.439"
"2023/12/15","16:18","0.38","-","0.435"
"2023/12/15","16:24","0.374","-","0.431"
"2023/12/15","16:30","0.367","-","0.428"
"2023/12/15","16:36","0.358","-","0.414"
"2023/12/15","16:42","0.349","-","0.402"
"2023/12/15","16:48","0.339","-","0.388"
"2023/12/15","16:54","0.328","-","0.366"
"2023/12/15","17:00","0.315","-","0.348"
"2023/12/15","17:06","0.302","-","0.328"
"2023/12/15","17:12","0.288","-","0.311"
"2023/12/15","17:18","0.274","-","0.299"
"2023/12/15","17:24","0.258","-","0.285"
"2023/12/15","17:30","0.242","-","0.264"
"2023/12/15","17:36","0.225","-","0.239"
"2023/12/15","17:42","0.207","-","0.217"
"2023/12/15","17:48","0.189","-","0.193"
"2023/12/15","17:54","0.171","-","0.165"
"2023/12/15","18:00","0.151","-","0.154"
"2023/12/15","18:06","0.132","-","0.132"
"2023/12/15","18:12","0.112","-","0.113"
"2023/12/15","18:18","0.092","-","0.098"
"2023/12/15","18:24","0.071","-","0.075"
"2023/12/15","18:30","0.05","-","0.055"
"2023/12/15","18:36","0.029","-","0.039"
"2023/12/15","18:42","0.008","-","0.025"
"2023/12/15","18:48","-0.013","-","0.012"
"2023/12/15","18:54","-0.034","-","-0.007"
"2023/12/15","19:00","-0.056","-","-0.023"
"2023/12/15","19:06","-0.077","-","-0.036"
"2023/12/15","19:12","-0.099","-","-0.046"
"2023/12/15","19:18","-0.12","-","-0.065"
"2023/12/15","19:24","-0.142","-","-0.092"
"2023/12/15","19:30","-0.163","-","-0.111"
"2023/12/15","19:36","-0.185","-","-0.131"
"2023/12/15","19:42","-0.206","-","-0.145"
"2023/12/15","19:48","-0.227","-","-0.161"
"2023/12/15","19:54","-0.249","-","-0.173"
"2023/12/15","20:00","-0.27","-","-0.185"
"2023/12/15","20:06","-0.291","-","-0.198"
"2023/12/15","20:12","-0.312","-","-0.214"
"2023/12/15","20:18","-0.333","-","-0.24"
"2023/12/15","20:24","-0.353","-","-0.266"
"2023/12/15","20:30","-0.374","-","-0.291"
"2023/12/15","20:36","-0.394","-","-0.322"
"2023/12/15","20:42","-0.414","-","-0.348"
"2023/12/15","20:48","-0.433","-","-0.369"
"2023/12/15","20:54","-0.452","-","-0.391"
"2023/12/15","21:00","-0.47","-","-0.415"
"2023/12/15","21:06","-0.488","-","-0.443"
"2023/12/15","21:12","-0.505","-","-0.468"
"2023/12/15","21:18","-0.521","-","-0.487"
"2023/12/15","21:24","-0.537","-","-0.512"
"2023/12/15","21:30","-0.552","-","-0.53"
"2023/12/15","21:36","-0.565","-","-0.547"
"2023/12/15","21:42","-0.578","-","-0.56"
"2023/12/15","21:48","-0.589","-","-0.565"
"2023/12/15","21:54","-0.6","-","-0.577"
"2023/12/15","22:00","-0.609","-","-0.591"
"2023/12/15","22:06","-0.617","-","-0.603"
"2023/12/15","22:12","-0.623","-","-0.609"
"2023/12/15","22:18","-0.628","-","-0.621"
"2023/12/15","22:24","-0.631","-","-0.63"
"2023/12/15","22:30","-0.633","-","-0.64"
"2023/12/15","22:36","-0.634","-","-0.637"
"2023/12/15","22:42","-0.633","-","-0.63"
"2023/12/15","22:48","-0.63","-","-0.627"
"2023/12/15","22:54","-0.626","-","-0.624"
"2023/12/15","23:00","-0.62","-","-0.614"
"2023/12/15","23:06","-0.613","-","-0.606"
"2023/12/15","23:12","-0.604","-","-0.595"
"2023/12/15","23:18","-0.594","-","-0.587"
"2023/12/15","23:24","-0.582","-","-0.578"
"2023/12/15","23:30","-0.569","-","-0.56"
"2023/12/15","23:36","-0.554","-","-0.546"
"2023/12/15","23:42","-0.539","-","-0.531"
"2023/12/15","23:48","-0.522","-","-0.516"
"2023/12/15","23:54","-0.504","-","-0.501"
"2023/12/16","00:00","-0.485","-","-0.475"
"2023/12/16","00:06","-0.465","-","-0.46"
"2023/12/16","00:12","-0.445","-","-0.44"
"2023/12/16","00:18","-0.424","-","-0.417"
"2023/12/16","00:24","-0.402","-","-0.387"
"2023/12/16","00:30","-0.38","-","-0.359"
"2023/12/16","00:36","-0.357","-","-0.331"
"2023/12/16","00:42","-0.335","-","-0.306"
"2023/12/16","00:48","-0.312","-","-0.285"
"2023/12/16","00:54","-0.289","-","-0.262"
"2023/12/16","01:00","-0.266","-","-0.242"
"2023/12/16","01:06","-0.244","-","-0.22"
"2023/12/16","01:12","-0.222","-","-0.197"
"2023/12/16","01:18","-0.2","-","-0.174"
"2023/12/16","01:24","-0.179","-","-0.15"
"2023/12/16","01:30","-0.158","-","-0.129"
"2023/12/16","01:36","-0.137","-","-0.108"
"2023/12/16","01:42","-0.118","-","-0.094"
"2023/12/16","01:48","-0.099","-","-0.081"
"2023/12/16","01:54","-0.081","-","-0.066"
"2023/12/16","02:00","-0.063","-","-0.049"
"2023/12/16","02:06","-0.047","-","-0.029"
"2023/12/16","02:12","-0.031","-","-0.008"
"2023/12/16","02:18","-0.016","-","0.011"
"2023/12/16","02:24","-0.002","-","0.03"
"2023/12/16","02:30","0.011","-","0.049"
"2023/12/16","02:36","0.024","-","0.065"
"2023/12/16","02:42","0.036","-","0.079"
"2023/12/16","02:48","0.047","-","0.091"
"2023/12/16","02:54","0.057","-","0.103"
"2023/12/16","03:00","0.067","-","0.116"
"2023/12/16","03:06","0.075","-","0.13"
"2023/12/16","03:12","0.083","-","0.138"
"2023/12/16","03:18","0.091","-","0.151"
"2023/12/16","03:24","0.097","-","0.157"
"2023/12/16","03:30","0.103","-","0.16"
"2023/12/16","03:36","0.108","-","0.165"
"2023/12/16","03:42","0.113","-","0.174"
"2023/12/16","03:48","0.116","-","0.186"
"2023/12/16","03:54","0.12","-","0.191"
"2023/12/16","04:00","0.122","-","0.198"
"2023/12/16","04:06","0.123","-","0.203"
"2023/12/16","04:12","0.124","-","0.207"
"2023/12/16","04:18","0.124","-","0.206"
"2023/12/16","04:24","0.124","-","0.205"
"2023/12/16","04:30","0.122","-","0.203"
"2023/12/16","04:36","0.12","-","0.2"
"2023/12/16","04:42","0.116","-","0.197"
"2023/12/16","04:48","0.112","-","0.195"
"2023/12/16","04:54","0.108","-","0.19"
"2023/12/16","05:00","0.102","-","0.179"
"2023/12/16","05:06","0.095","-","0.166"
"2023/12/16","05:12","0.088","-","0.155"
"2023/12/16","05:18","0.08","-","0.147"
"2023/12/16","05:24","0.071","-","0.135"
"2023/12/16","05:30","0.061","-","0.118"
"2023/12/16","05:36","0.051","-","0.106"
"2023/12/16","05:42","0.04","-","0.095"
"2023/12/16","05:48","0.029","-","0.083"
"2023/12/16","05:54","0.016","-","0.069"
"2023/12/16","06:00","0.004","-","0.055"
"2023/12/16","06:06","-0.01","-","0.041"
"2023/12/16","06:12","-0.023","-","0.027"
"2023/12/16","06:18","-0.037","-","0.009"
"2023/12/16","06:24","-0.051","-","-0.004"
"2023/12/16","06:30","-0.066","-","-0.014"
"2023/12/16","06:36","-0.081","-","-0.027"
"2023/12/16","06:42","-0.096","-","-0.039"
"2023/12/16","06:48","-0.111","-","-0.056"
"2023/12/16","06:54","-0.126","-","-0.073"
"2023/12/16","07:00","-0.141","-","-0.089"
"2023/12/16","07:06","-0.156","-","-0.103"
"2023/12/16","07:12","-0.171","-","-0.117"
"2023/12/16","07:18","-0.186","-","-0.131"
"2023/12/16","07:24","-0.201","-","-0.147"
"2023/12/16","07:30","-0.215","-","-0.159"
"2023/12/16","07:36","-0.23","-","-0.169"
"2023/12/16","07:42","-0.244","-","-0.181"
"2023/12/16","07:48","-0.259","-","-0.195"
"2023/12/16","07:54","-0.273","-","-0.209"
"2023/12/16","08:00","-0.287","-","-0.224"
"2023/12/16","08:06","-0.301","-","-0.238"
"2023/12/16","08:12","-0.315","-","-0.253"
"2023/12/16","08:18","-0.328","-","-0.264"
"2023/12/16","08:24","-0.342","-","-0.275"
"2023/12/16","08:30","-0.355","-","-0.289"
"2023/12/16","08:36","-0.368","-","-0.31"
"2023/12/16","08:42","-0.381","-","-0.33"
"2023/12/16","08:48","-0.393","-","-0.348"
"2023/12/16","08:54","-0.406","-","-0.359"
"2023/12/16","09:00","-0.418","-","-0.369"
"2023/12/16","09:06","-0.43","-","-0.381"
"2023/12/16","09:12","-0.441","-","-0.391"
"2023/12/16","09:18","-0.452","-","-0.401"
"2023/12/16","09:24","-0.462","-","-0.414"
"2023/12/16","09:30","-0.472","-","-0.422"
"2023/12/16","09:36","-0.482","-","-0.428"
"2023/12/16","09:42","-0.491","-","-0.444"
"2023/12/16","09:48","-0.499","-","-0.458"
"2023/12/16","09:54","-0.506","-","-0.465"
"2023/12/16","10:00","-0.512","-","-0.473"
"2023/12/16","10:06","-0.518","-","-0.477"
"2023/12/16","10:12","-0.522","-","-0.483"
"2023/12/16","10:18","-0.526","-","-0.49"
"2023/12/16","10:24","-0.528","-","-0.49"
"2023/12/16","10:30","-0.53","-","-0.492"
"2023/12/16","10:36","-0.53","-","-0.492"
"2023/12/16","10:42","-0.529","-","-0.492"
"2023/12/16","10:48","-0.526","-","-0.491"
"2023/12/16","10:54","-0.522","-","-0.488"
"2023/12/16","11:00","-0.517","-","-0.483"
"2023/12/16","11:06","-0.511","-","-0.473"
"2023/12/16","11:12","-0.503","-","-0.469"
"2023/12/16","11:18","-0.493","-","-0.464"
"2023/12/16","11:24","-0.483","-","-0.457"
"2023/12/16","11:30","-0.47","-","-0.447"
"2023/12/16","11:36","-0.457","-","-0.433"
"2023/12/16","11:42","-0.442","-","-0.419"
"2023/12/16","11:48","-0.426","-","-0.408"
"2023/12/16","11:54","-0.409","-","-0.39"
"2023/12/16","12:00","-0.39","-","-0.37"
"2023/12/16","12:06","-0.371","-","-0.351"
"2023/12/16","12:12","-0.35","-","-0.327"
"2023/12/16","12:18","-0.328","-","-0.307"
"2023/12/16","12:24","-0.306","-","-0.282"
"2023/12/16","12:30","-0.283","-","-0.251"
"2023/12/16","12:36","-0.259","-","-0.232"
"2023/12/16","12:42","-0.234","-","-0.209"
