"Date","Time (GMT)","Predicted (m)","Preliminary (m)","Verified (m)"
"2023/12/15","00:00","0.097","-","0.164"
"2023/12/15","00:06","0.127","-","0.19"
"2023/12/15","00:12","0.156","-","0.216"
"2023/12/15","00:18","0.184","-","0.245"
"2023/12/15","00:24","0.212","-","0.276"
"2023/12/15","00:30","0.239","-","0.31"
"2023/12/15","00:36","0.264","-","0.329"
"2023/12/15","00:42","0.289","-","0.353"
"2023/12/15","00:48","0.312","-","0.376"
"2023/12/15","00:54","0.334","-","0.396"
"2023/12/15","01:00","0.354","-","0.409"
"2023/12/15","01:06","0.372","-","0.426"
"2023/12/15","01:12","0.388","-","0.437"
"2023/12/15","01:18","0.403","-","0.442"
"2023/12/15","01:24","0.415","-","0.449"
"2023/12/15","01:30","0.426","-","0.452"
"2023/12/15","01:36","0.434","-","0.454"
"2023/12/15","01:42","0.44","-","0.447"
"2023/12/15","01:48","0.443","-","0.443"
"2023/12/15","01:54","0.445","-","0.446"
"2023/12/15","02:00","0.443","-","0.451"
"2023/12/15","02:06","0.44","-","0.449"
"2023/12/15","02:12","0.434","-","0.442"
"2023/12/15","02:18","0.426","-","0.437"
"2023/12/15","02:24","0.415","-","0.423"
"2023/12/15","02:30","0.402","-","0.406"
"2023/12/15","02:36","0.387","-","0.387"
"2023/12/15","02:42","0.37","-","0.365"
"2023/12/15","02:48","0.351","-","0.347"
"2023/12/15","02:54","0.33","-","0.321"
"2023/12/15","03:00","0.307","-","0.304"
"2023/12/15","03:06","0.282","-","0.27"
"2023/12/15","03:12","0.255","-","0.241"
"2023/12/15","03:18","0.227","-","0.212"
"2023/12/15","03:24","0.198","-","0.193"
"2023/12/15","03:30","0.167","-","0.165"
"2023/12/15","03:36","0.135","-","0.14"
"2023/12/15","03:42","0.102","-","0.115"
"2023/12/15","03:48","0.068","-","0.084"
"2023/12/15","03:54","0.033","-","0.056"
"2023/12/15","04:00","-0.002","-","0.025"
"2023/12/15","04:06","-0.038","-","-0.001"
"2023/12/15","04:12","-0.075","-","-0.034"
"2023/12/15","04:18","-0.112","-","-0.076"
"2023/12/15","04:24","-0.149","-","-0.117"
"2023/12/15","04:30","-0.186","-","-0.146"
"2023/12/15","04:36","-0.223","-","-0.186"
"2023/12/15","04:42","-0.259","-","-0.228"
"2023/12/15","04:48","-0.296","-","-0.257"
"2023/12/15","04:54","-0.332","-","-0.281"
"2023/12/15","05:00","-0.368","-","-0.313"
"2023/12/15","05:06","-0.403","-","-0.348"
"2023/12/15","05:12","-0.437","-","-0.377"
"2023/12/15","05:18","-0.47","-","-0.41"
"2023/12/15","05:24","-0.502","-","-0.439"
"2023/12/15","05:30","-0.533","-","-0.468"
"2023/12/15","05:36","-0.562","-","-0.485"
"2023/12/15","05:42","-0.59","-","-0.511"
"2023/12/15","05:48","-0.617","-","-0.545"
"2023/12/15","05:54","-0.642","-","-0.578"
"2023/12/15","06:00","-0.666","-","-0.601"
"2023/12/15","06:06","-0.688","-","-0.619"
"2023/12/15","06:12","-0.707","-","-0.645"
"2023/12/15","06:18","-0.725","-","-0.663"
"2023/12/15","06:24","-0.742","-","-0.678"
"2023/12/15","06:30","-0.756","-","-0.694"
"2023/12/15","06:36","-0.768","-","-0.709"
"2023/12/15","06:42","-0.778","-","-0.724"
"2023/12/15","06:48","-0.786","-","-0.728"
"2023/12/15","06:54","-0.793","-","-0.732"
"2023/12/15","07:00","-0.797","-","-0.735"
"2023/12/15","07:06","-0.8","-","-0.75"
"2023/12/15","07:12","-0.8","-","-0.752"
"2023/12/15","07:18","-0.799","-","-0.748"
"2023/12/15","07:24","-0.797","-","-0.742"
"2023/12/15","07:30","-0.792","-","-0.744"
"2023/12/15","07:36","-0.786","-","-0.735"
"2023/12/15","07:42","-0.779","-","-0.73"
"2023/12/15","07:48","-0.771","-","-0.728"
"2023/12/15","07:54","-0.761","-","-0.727"
"2023/12/15","08:00","-0.75","-","-0.715"
"2023/12/15","08:06","-0.738","-","-0.71"
"2023/12/15","08:12","-0.724","-","-0.703"
"2023/12/15","08:18","-0.71","-","-0.693"
"2023/12/15","08:24","-0.696","-","-0.689"
"2023/12/15","08:30","-0.68","-","-0.681"
"2023/12/15","08:36","-0.664","-","-0.666"
"2023/12/15","08:42","-0.647","-","-0.646"
"2023/12/15","08:48","-0.629","-","-0.634"
"2023/12/15","08:54","-0.611","-","-0.621"
"2023/12/15","09:00","-0.592","-","-0.596"
"2023/12/15","09:06","-0.573","-","-0.578"
"2023/12/15","09:12","-0.553","-","-0.56"
"2023/12/15","09:18","-0.533","-","-0.537"
"2023/12/15","09:24","-0.512","-","-0.518"
"2023/12/15","09:30","-0.491","-","-0.506"
"2023/12/15","09:36","-0.469","-","-0.488"
"2023/12/15","09:42","-0.447","-","-0.467"
"2023/12/15","09:48","-0.425","-","-0.442"
"2023/12/15","09:54","-0.401","-","-0.419"
"2023/12/15","10:00","-0.378","-","-0.399"
"2023/12/15","10:06","-0.354","-","-0.374"
"2023/12/15","10:12","-0.329","-","-0.351"
"2023/12/15","10:18","-0.304","-","-0.331"
"2023/12/15","10:24","-0.278","-","-0.305"
"2023/12/15","10:30","-0.252","-","-0.274"
"2023/12/15","10:36","-0.225","-","-0.255"
"2023/12/15","10:42","-0.197","-","-0.23"
"2023/12/15","10:48","-0.17","-","-0.194"
"2023/12/15","10:54","-0.141","-","-0.164"
"2023/12/15","11:00","-0.112","-","-0.139"
"2023/12/15","11:06","-0.083","-","-0.102"
"2023/12/15","11:12","-0.053","-","-0.072"
"2023/12/15","11:18","-0.023","-","-0.053"
"2023/12/15","11:24","0.008","-","-0.029"
"2023/12/15","11:30","0.039","-","0.006"
"2023/12/15","11:36","0.07","-","0.051"
"2023/12/15","11:42","0.102","-","0.072"
"2023/12/15","11:48","0.133","-","0.1"
"2023/12/15","11:54","0.165","-","0.138"
"2023/12/15","12:00","0.197","-","0.178"
"2023/12/15","12:06","0.229","-","0.2"
"2023/12/15","12:12","0.26","-","0.234"
"2023/12/15","12:18","0.292","-","0.271"
"2023/12/15","12:24","0.323","-","0.304"
"2023/12/15","12:30","0.353","-","0.322"
"2023/12/15","12:36","0.383","-","0.355"
"2023/12/15","12:42","0.412","-","0.389"
"2023/12/15","12:48","0.441","-","0.415"
"2023/12/15","12:54","0.468","-","0.448"
"2023/12/15","13:00","0.494","-","0.48"
"2023/12/15","13:06","0.519","-","0.506"
"2023/12/15","13:12","0.543","-","0.526"
"2023/12/15","13:18","0.565","-","0.559"
"2023/12/15","13:24","0.586","-","0.594"
"2023/12/15","13:30","0.605","-","0.606"
"2023/12/15","13:36","0.622","-","0.614"
"2023/12/15","13:42","0.637","-","0.64"
"2023/12/15","13:48","0.65","-","0.664"
"2023/12/15","13:54","0.661","-","0.67"
"2023/12/15","14:00","0.669","-","0.673"
"2023/12/15","14:06","0.676","-","0.685"
"2023/12/15","14:12","0.68","-","0.691"
"2023/12/15","14:18","0.681","-","0.696"
"2023/12/15","14:24","0.681","-","0.698"
"2023/12/15","14:30","0.677","-","0.7"
"2023/12/15","14:36","0.672","-","0.697"
"2023/12/15","14:42","0.664","-","0.698"
"2023/12/15","14:48","0.654","-","0.701"
"2023/12/15","14:54","0.641","-","0.688"
"2023/12/15","15:00","0.626","-","0.677"
"2023/12/15","15:06","0.609","-","0.662"
"2023/12/15","15:12","0.59","-","0.652"
"2023/12/15","15:18","0.569","-","0.628"
"2023/12/15","15:24","0.546","-","0.604"
"2023/12/15","15:30","0.521","-","0.582"
"2023/12/15","15:36","0.494","-","0.554"
"2023/12/15","15:42","0.466","-","0.525"
"2023/12/15","15:48","0.436","-","0.501"
"2023/12/15","15:54","0.405","-","0.47"
"2023/12/15","16:00","0.372","-","0.434"
"2023/12/15","16:06","0.338","-","0.4"
"2023/12/15","16:12","0.304","-","0.37"
"2023/12/15","16:18","0.268","-","0.325"
"2023/12/15","16:24","0.231","-","0.283"
"2023/12/15","16:30","0.194","-","0.246"
"2023/12/15","16:36","0.156","-","0.206"
"2023/12/15","16:42","0.118","-","0.164"
"2023/12/15","16:48","0.079","-","0.125"
"2023/12/15","16:54","0.04","-","0.084"
"2023/12/15","17:00","0.001","-","0.042"
"2023/12/15","17:06","-0.039","-","-0.004"
"2023/12/15","17:12","-0.078","-","-0.045"
"2023/12/15","17:18","-0.117","-","-0.081"
"2023/12/15","17:24","-0.155","-","-0.13"
"2023/12/15","17:30","-0.193","-","-0.173"
"2023/12/15","17:36","-0.231","-","-0.212"
"2023/12/15","17:42","-0.268","-","-0.255"
"2023/12/15","17:48","-0.304","-","-0.304"
"2023/12/15","17:54","-0.339","-","-0.34"
"2023/12/15","18:00","-0.373","-","-0.375"
"2023/12/15","18:06","-0.406","-","-0.415"
"2023/12/15","18:12","-0.437","-","-0.449"
"2023/12/15","18:18","-0.468","-","-0.483"
"2023/12/15","18:24","-0.497","-","-0.509"
"2023/12/15","18:30","-0.524","-","-0.542"
"2023/12/15","18:36","-0.55","-","-0.576"
"2023/12/15","18:42","-0.574","-","-0.596"
"2023/12/15","18:48","-0.597","-","-0.609"
"2023/12/15","18:54","-0.618","-","-0.629"
"2023/12/15","19:00","-0.637","-","-0.643"
"2023/12/15","19:06","-0.654","-","-0.662"
"2023/12/15","19:12","-0.67","-","-0.673"
"2023/12/15","19:18","-0.683","-","-0.685"
"2023/12/15","19:24","-0.695","-","-0.698"
"2023/12/15","19:30","-0.706","-","-0.698"
"2023/12/15","19:36","-0.714","-","-0.701"
"2023/12/15","19:42","-0.721","-","-0.704"
"2023/12/15","19:48","-0.727","-","-0.705"
"2023/12/15","19:54","-0.731","-","-0.722"
"2023/12/15","20:00","-0.733","-","-0.727"
"2023/12/15","20:06","-0.734","-","-0.722"
"2023/12/15","20:12","-0.734","-","-0.71"
"2023/12/15","20:18","-0.733","-","-0.711"
"2023/12/15","20:24","-0.731","-","-0.721"
"2023/12/15","20:30","-0.727","-","-0.717"
"2023/12/15","20:36","-0.723","-","-0.719"
"2023/12/15","20:42","-0.717","-","-0.716"
"2023/12/15","20:48","-0.711","-","-0.715"
"2023/12/15","20:54","-0.704","-","-0.708"
"2023/12/15","21:00","-0.696","-","-0.699"
"2023/12/15","21:06","-0.688","-","-0.698"
"2023/12/15","21:12","-0.679","-","-0.685"
"2023/12/15","21:18","-0.669","-","-0.666"
"2023/12/15","21:24","-0.659","-","-0.657"
"2023/12/15","21:30","-0.648","-","-0.653"
"2023/12/15","21:36","-0.636","-","-0.651"
"2023/12/15","21:42","-0.624","-","-0.645"
"2023/12/15","21:48","-0.611","-","-0.636"
"2023/12/15","21:54","-0.598","-","-0.614"
"2023/12/15","22:00","-0.584","-","-0.593"
"2023/12/15","22:06","-0.57","-","-0.587"
"2023/12/15","22:12","-0.555","-","-0.58"
"2023/12/15","22:18","-0.539","-","-0.572"
"2023/12/15","22:24","-0.523","-","-0.559"
"2023/12/15","22:30","-0.506","-","-0.544"
"2023/12/15","22:36","-0.488","-","-0.526"
"2023/12/15","22:42","-0.469","-","-0.504"
"2023/12/15","22:48","-0.45","-","-0.48"
"2023/12/15","22:54","-0.43","-","-0.469"
"2023/12/15","23:00","-0.409","-","-0.454"
"2023/12/15","23:06","-0.387","-","-0.423"
"2023/12/15","23:12","-0.365","-","-0.4"
"2023/12/15","23:18","-0.342","-","-0.384"
"2023/12/15","23:24","-0.318","-","-0.367"
"2023/12/15","23:30","-0.293","-","-0.338"
"2023/12/15","23:36","-0.268","-","-0.307"
"2023/12/15","23:42","-0.242","-","-0.284"
"2023/12/15","23:48","-0.215","-","-0.257"
"2023/12/15","23:54","-0.188","-","-0.224"
"2023/12/16","00:00","-0.16","-","-0.192"
"2023/12/16","00:06","-0.131","-","-0.165"
"2023/12/16","00:12","-0.102","-","-0.138"
"2023/12/16","00:18","-0.073","-","-0.102"
"2023/12/16","00:24","-0.043","-","-0.074"
"2023/12/16","00:30","-0.014","-","-0.051"
"2023/12/16","00:36","0.016","-","-0.014"
"2023/12/16","00:42","0.046","-","0.028"
"2023/12/16","00:48","0.076","-","0.052"
"2023/12/16","00:54","0.106","-","0.079"
"2023/12/16","01:00","0.135","-","0.112"
"2023/12/16","01:06","0.163","-","0.149"
"2023/12/16","01:12","0.192","-","0.176"
"2023/12/16","01:18","0.219","-","0.205"
"2023/12/16","01:24","0.245","-","0.232"
"2023/12/16","01:30","0.271","-","0.262"
"2023/12/16","01:36","0.295","-","0.281"
"2023/12/16","01:42","0.318","-","0.309"
"2023/12/16","01:48","0.339","-","0.339"
